feature,score
stg6_tparam1_mean,16
stg4_tparam14_mean,16
stg8_tparam17_max,16
stg6_tparam11_min,16
stg7_tparam9_mean,16
stg7_tparam17_median,16
stg6_tparam10_mean,16
stg4_tparam8_median,16
stg9_tparam18_max,16
stg6_tparam3_cnt,16
stg7_tparam17_mean,16
stg2_tparam15_cnt,16
tparam12_median,15
stg9_tparam2_cnt,15
stg8_tparam9_median,15
tparam7_mean,15
stg9_tparam8_median,15
stg7_tparam11_mean,15
stg10_tparam5_cnt,15
stg9_tparam17_max,15
stg3_tparam9_median,15
stg5_tparam11_mean,15
stg5_tparam6_median,15
tparam8_mean,15
tparam9_min,15
stg9_tparam1_median,15
stg4_tparam18_mean,15
stg6_tparam8_min,15
stg8_tparam9_mean,15
tparam18_max,15
stg7_tparam1_mean,15
draft_param4_1,15
tparam2_cnt,15
param7_1,15
stg3_tparam11_max,15
stg2_tparam4_cnt,15
stg7_tparam8_median,14
tparam1_cnt,14
stg7_tparam6_median,14
stg8_tparam4_cnt,14
stg4_tparam11_cnt,14
stg8_tparam11_cnt,14
param3_2,14
stg1_tparam13_mean,14
stg2_tparam1_median,14
stg4_tparam9_min,14
stg7_tparam1_min,14
stg8_tparam1_min,14
stg9_tparam14_max,14
stg6_tparam9_min,14
stg4_tparam14_cnt,13
tparam18_median,13
stg3_tparam1_median,13
stg5_tparam1_mean,13
tparam11_cnt,13
stg5_tparam13_std,13
stg5_tparam11_cnt,13
stg7_tparam18_mean,13
tparam13_min,13
stg4_tparam8_min,13
stg10_tparam7_cnt,13
stg3_tparam5_cnt,13
stg2_tparam18_median,13
stg5_tparam8_mean,12
stg7_tparam18_max,12
stg4_tparam11_mean,12
stg8_tparam17_mean,12
stg3_tparam11_mean,12
stg2_tparam14_cnt,12
stg4_tparam17_max,12
stg6_tparam11_max,12
tparam9_cnt,12
stg6_tparam14_cnt,12
stg8_tparam8_min,12
tparam14_min,12
stg3_tparam14_cnt,12
stg6_tparam8_mean,12
draft_param7_3,12
stg8_tparam11_median,12
stg6_tparam12_median,11
stg6_tparam11_cnt,11
tparam13_cnt,11
tparam9_mean,11
stg2_tparam12_std,11
stg3_tparam9_cnt,11
stg6_tparam1_min,11
stg8_tparam18_mean,11
stg5_tparam11_max,11
stg6_tparam17_mean,11
totaltime,11
stg5_tparam18_mean,10
stg4_tparam1_mean,10
stg8_tparam8_median,10
stg7_tparam8_mean,10
stg4_tparam11_max,10
stg4_tparam18_max,10
tparam8_median,10
stg3_tparam18_mean,10
stg7_tparam8_min,10
tparam13_max,10
stg6_tparam18_max,10
stg4_tparam1_min,10
tparam10_median,10
stg6_tparam17_max,10
stg9_tparam18_mean,10
stg5_tparam1_min,10
stg3_tparam17_median,10
stg3_tparam4_cnt,9
tparam14_cnt,9
stg9_tparam4_cnt,9
stg10_tparam13_median,9
stg5_tparam17_max,9
stg5_tparam14_cnt,9
stg10_tparam12_mean,9
stg1_tparam13_max_min,9
tparam12_max,9
stg7_tparam9_median,9
stg2_tparam9_cnt,9
tparam13_median,9
stg8_tparam18_median,9
stg8_tparam8_cnt,9
stg4_tparam9_median,9
stg1_tparam12_cnt,9
stg4_tparam4_cnt,9
tparam12_cnt,9
tparam13_max_min,8
stg6_tparam18_mean,8
stg9_tparam11_cnt,8
tparam17_cnt,8
stg5_tparam1_median,8
draft_param7_0,8
stg7_tparam8_cnt,8
stg7_tparam9_cnt,8
stg5_tparam18_max,8
stg8_tparam18_max,8
stg7_tparam14_cnt,8
stg6_tparam9_cnt,8
stg5_tparam9_median,8
stg6_tparam8_median,8
draft_param1_2,8
stg3_tparam18_median,7
tparam9_median,7
stg6_tparam1_median,7
stg7_tparam7_cnt,7
stg6_tparam9_median,7
stg7_tparam12_mean,7
stg1_tparam5_cnt,7
stg7_tparam15_cnt,7
stg7_tparam11_cnt,7
tparam8_cnt,7
stg4_tparam8_cnt,7
stg8_tparam1_median,7
stg1_tparam4_cnt,6
stg7_tparam18_median,6
stg1_tparam16_cnt,6
stg4_tparam1_median,6
stg4_tparam17_mean,6
stg1_tparam18_cnt,6
param5_1,6
stg1_tparam12_median,6
tparam4_cnt,6
stg5_tparam18_median,6
stg2_tparam16_cnt,6
stg3_tparam8_cnt,6
stg2_tparam5_cnt,6
stg6_tparam11_mean,6
stg7_tparam18_cnt,6
stg5_tparam8_cnt,6
stg7_tparam1_median,6
stg9_tparam9_cnt,6
stg4_tparam11_median,6
stg8_tparam5_cnt,5
stg8_tparam17_median,5
stg5_tparam12_mean,5
stg9_tparam14_cnt,5
tparam16_cnt,5
stg6_tparam8_cnt,5
stg4_tparam17_median,5
stg5_tparam8_median,5
stg6_tparam11_median,5
stg5_tparam9_cnt,5
stg5_tparam12_median,5
stg5_tparam11_median,5
stg7_tparam4_cnt,5
tparam18_cnt,5
stg7_tparam11_median,5
stg4_tparam1_cnt,5
stg5_tparam4_cnt,5
stg7_tparam17_cnt,5
stg1_tparam13_cnt,5
stg4_tparam9_cnt,5
stg5_tparam1_cnt,5
stg2_tparam18_cnt,5
stg6_tparam18_median,4
stg2_tparam1_cnt,4
stg5_tparam17_mean,4
stg4_tparam18_median,4
stg3_tparam1_cnt,4
stg6_tparam4_cnt,4
stg2_tparam7_cnt,4
tparam5_cnt,4
param9,4
stg1_tparam13_max,4
stg6_tparam17_median,4
stg2_tparam17_cnt,4
stg6_tparam16_cnt,4
stg6_tparam17_cnt,4
stg3_tparam18_cnt,4
stg3_tparam15_cnt,4
tparam12_min,4
stg5_tparam17_median,4
draft_param3_0,4
stg8_tparam9_cnt,3
draft_param3_1,3
stg8_tparam14_cnt,3
stg9_tparam18_median,3
tparam17_median,3
stg5_tparam7_cnt,3
tparam1_max,3
stg6_tparam15_cnt,3
stg8_tparam16_cnt,3
stg1_tparam12_max,3
stg3_tparam16_cnt,3
stg5_tparam17_cnt,3
stg9_tparam1_cnt,3
stg8_tparam7_cnt,3
stg3_tparam7_cnt,3
draft_param6_1,3
stg9_tparam5_cnt,3
stg6_tparam5_cnt,3
tparam15_cnt,3
stg3_tparam17_cnt,3
stg1_tparam13_min,3
stg9_tparam15_cnt,3
stg10_tparam12_median,3
stg1_tparam13_median,2
stg5_tparam18_cnt,2
stg8_tparam12_std,2
stg8_tparam1_cnt,2
stg9_tparam17_median,2
stg7_tparam12_cnt,2
stg9_tparam17_cnt,2
stg4_tparam7_cnt,2
stg8_tparam18_cnt,2
stg5_tparam5_cnt,2
stg3_tparam13_median,2
param9_0,2
stg6_tparam18_cnt,2
stg6_tparam7_cnt,2
stg2_tparam12_mean,2
stg9_tparam7_cnt,2
stg4_tparam16_cnt,2
stg2_tparam12_median,2
stg4_tparam17_cnt,2
stg9_tparam16_cnt,2
draft_param7_1,2
stg7_tparam1_cnt,2
stg4_tparam13_max_min,1
stg7_tparam16_cnt,1
stg8_tparam17_cnt,1
stg9_tparam8_cnt,1
stg4_tparam15_cnt,1
stg8_tparam12_cnt,1
stg8_tparam12_median,1
stg10_tparam12_max_min,1
stg4_tparam12_std,1
stg8_tparam15_cnt,1
stg6_tparam13_max,1
stg7_tparam12_median,1
stg9_tparam18_cnt,1
stg1_tparam12_min,1
stg5_tparam12_std,1
param9_1,1
stg10_tparam12_std,1
stg3_tparam13_max,1
stg7_tparam5_cnt,1
stg4_tparam18_cnt,1
